date,daily.returns,daily_sentiment,articles_per_day,chunks_per_day,incomplete_chunks_per_day,failed_chunks_per_day,chunks_total_per_day
2010-01-04,0,0.04480301946523468,88,991,83,0,991
2010-01-05,0.00311083196675972,0.04063473577958863,114,1357,110,0,1357
2010-01-06,5.4537188782341e-4,0.07856341335506269,113,1487,110,0,1487
2010-01-07,0.00399321835465424,0.17460045995886367,125,1604,122,0,1604
2010-01-08,0.00287758307509621,0.13706113133021333,101,1029,96,0,1029
2010-01-11,0.00174523162858463,0.02038010085218249,108,1269,104,0,1269
2010-01-12,-0.00942544643894456,0.15014286716592246,93,1301,89,0,1301
2010-01-13,0.00829145633336042,0.15026441510672156,80,1103,76,0,1103
2010-01-14,0.00242348642141418,0.06200164292296107,89,1234,85,0,1234
2010-01-15,-0.0108821263012086,0.11389058294227608,82,1095,79,0,1095
2010-01-19,0.0124221512077371,0.12636146224147798,106,1411,102,0,1411
2010-01-20,-0.0106543866018613,0.14126609480033792,115,1486,112,0,1486
2010-01-21,-0.0191266572729878,0.12265307961605916,107,1310,101,0,1310
2010-01-22,-0.022389779630109,0.22355900153832495,84,1100,79,0,1100
2010-01-25,0.00458755905379601,0.1037995569278428,100,1283,95,0,1283
2010-01-26,-0.00421205784778559,0.18589122386440388,85,1206,80,0,1206
2010-01-27,0.00486828286861181,0.15044540113214885,90,1420,86,0,1420
2010-01-28,-0.0118881255342793,0.09006434792673593,106,1340,102,0,1340
2010-01-29,-0.00987779904998258,0.05490496095301227,99,1390,89,0,1390
2010-02-01,0.0141653055463697,0.09908468466449752,120,1477,116,0,1477
2010-02-02,0.0128895204452028,0.09055788806076367,102,1194,98,0,1194
2010-02-03,-0.00548935038253854,0.05627208841906395,113,1510,107,0,1510
2010-02-04,-0.0316358560498069,0.10023739136717844,123,1741,118,0,1741
2010-02-05,0.0028929303608266,0.12681004651258102,113,1573,109,0,1573
2010-02-08,-0.00890280310037419,0.07959090691700246,108,1552,101,0,1552
2010-02-09,0.0129558417735864,-0.00211634565303624,107,1422,102,0,1422
2010-02-10,-0.00223506942800742,0.20712916171641851,86,1155,82,0,1155
2010-02-11,0.00963388233510129,0.13718233312502723,98,1425,93,0,1425
2010-02-12,-0.00274836611994113,0.07413499650305096,101,1451,96,0,1451
2010-02-16,0.0178406535362614,0.0335672147445042,99,1419,92,0,1419
2010-02-17,0.00422900459671037,-0.03488331329562234,109,1655,106,0,1655
2010-02-18,0.00656315773379546,0.1746790111821113,117,1739,113,0,1739
2010-02-19,0.00218423486359101,0.19714598385155177,116,1741,111,0,1741
2010-02-22,-0.00104640512492032,0.07104461810759906,114,1362,109,0,1362
2010-02-23,-0.0121766449451987,0.1414257139380847,112,1466,110,0,1466
2010-02-24,0.00967351969718988,0.1344711586474053,114,1656,111,0,1656
2010-02-25,-0.00208320855286515,0.16126545350276242,112,1682,109,0,1682
2010-02-26,0.00140439255685794,0.02993600238214161,95,1372,91,0,1372
2010-03-01,0.0101072574236037,0.10929363025566456,87,1368,84,0,1368
2010-03-02,0.00232773100288627,0.10664973382524603,109,1588,107,0,1588
2010-03-03,4.2910952140039e-4,0.09062317755427406,105,1514,100,0,1514
2010-03-04,0.00372915607957138,0.02039241297837349,91,1366,88,0,1366
2010-03-05,0.013910282801604,0.0256274421857382,93,1387,87,0,1387
2010-03-08,-1.7561143217653e-4,-0.02093171773055844,81,1317,79,0,1317
2010-03-09,0.0017112720239721,0.1634528144344336,102,1336,98,0,1336
2010-03-10,0.00451435490421295,0.11554836796695243,98,1359,93,0,1359
2010-03-11,0.00403337431350597,0.1088490751556362,91,1339,86,0,1339
2010-03-12,-2.1736957009269e-4,0.11492345470595984,92,1263,86,0,1263
2010-03-15,4.5209262343589e-4,0.3047471692201877,96,1192,93,0,1192
2010-03-16,0.00774901498315996,0.1690569415191452,95,1333,90,0,1333
2010-03-17,0.00580479533256364,0.12786419639938265,121,1634,117,0,1634
2010-03-18,-3.2589912668909e-4,0.22747710280981304,86,1232,83,0,1232
2010-03-19,-0.00509942645161271,0.11776820046907233,88,1025,84,0,1025
2010-03-22,0.00508235909918007,0.16823027334988805,95,1277,92,0,1277
2010-03-23,0.00714537778480017,0.1594621646521558,93,1344,90,0,1344
2010-03-24,-0.00550844788728831,0.16344839070299322,102,1428,99,0,1428
2010-03-25,-0.00170562108332868,0.07542615365837621,102,1228,99,0,1228
2010-03-26,7.3745061598841e-4,0.12275920391087616,90,1165,87,0,1165
2010-03-29,0.00566714631279806,0.15395828138146803,96,1367,94,0,1367
2010-03-30,4.26584629303888e-5,0.1382958248128677,87,1128,85,0,1128
2010-03-31,-0.00327824231803275,0.14925996000267044,101,1378,96,0,1378
2010-04-01,0.0073864540055243,0.01753088662278673,86,1187,82,0,1187
2010-04-05,0.00789672944308788,-0.02379397104555715,90,1023,87,0,1023
2010-04-06,0.00168287887534903,0.15437565278715465,77,946,74,0,946
2010-04-07,-0.00589404296726202,0.11041664356618604,102,1429,100,0,1429
2010-04-08,0.00336866143085493,0.01862968932965443,84,1192,81,0,1192
2010-04-09,0.00666166829683167,9.1399155999804e-4,86,1163,82,0,1163
2010-04-12,0.00176505085714011,0.11695324520785644,108,1410,105,0,1410
2010-04-13,6.8516603983684e-4,0.05868515170790157,88,1133,85,0,1133
2010-04-14,0.0110883630999086,-0.1509203873694435,124,1663,116,0,1663
2010-04-15,8.4218399117682e-4,-0.07205685821225653,115,1442,107,0,1442
2010-04-16,-0.0162579824185471,0.09187633329615318,103,1508,97,0,1508
2010-04-19,0.0045111407395298,0.11357773191897044,105,1300,101,0,1300
2010-04-20,0.00802604573707138,-0.08166226811432813,83,1366,81,0,1366
2010-04-21,-0.00101951643570197,0.06204266677992159,90,1471,88,0,1471
2010-04-22,0.0022613206430902,0.1010474682213766,85,1314,82,0,1314
2010-04-23,0.00709826768321825,-0.06395733065121942,83,1433,77,0,1433
2010-04-26,-0.00430570435509311,0.02465280012040818,91,1295,83,0,1295
2010-04-27,-0.0236596401787016,-0.00793563178005642,101,1530,96,0,1530
2010-04-28,0.0064419583781809,0.02066157017596685,82,1340,77,0,1340
2010-04-29,0.0128601802812896,-0.04066826217922936,89,1433,86,0,1433
2010-04-30,-0.0167878101398663,0.04304536566510192,77,1174,70,0,1174
2010-05-03,0.0130352574532621,0.03603319785016698,85,1446,83,0,1446
2010-05-04,-0.0241271999574182,0.1153619494023722,108,1727,104,0,1727
2010-05-05,-0.0066083418007801,0.1387256766740792,82,1374,79,0,1374
2010-05-06,-0.0328884406439637,0.22683347941211135,115,1777,108,0,1777
2010-05-07,-0.0154266461809075,0.0922500834036854,95,1289,88,0,1289
2010-05-10,0.0430347041456154,0.16085744776102084,93,1474,89,0,1474
2010-05-11,-0.00340307591846623,0.22632001196041948,104,1553,98,0,1553
2010-05-12,0.0136459924018245,0.08870959779042528,105,1658,102,0,1658
2010-05-13,-0.0122194998892251,0.10278464686132338,80,1258,78,0,1258
2010-05-14,-0.0189789813879498,0.12859639144336998,103,1342,99,0,1342
2010-05-17,0.00110875362100844,0.27553085824272666,94,1322,85,0,1322
2010-05-18,-0.0142976317849977,0.22790618111709168,98,1335,90,0,1335
2010-05-19,-0.00514346886001559,0.1622657358069902,99,1356,94,0,1356
2010-05-20,-0.0397557958377663,0.27137064011913026,147,1882,141,0,1882
2010-05-21,0.0149126325857043,0.13196056397187614,92,982,84,0,982
2010-05-24,-0.0129920463236877,0.14189447815369113,89,1018,86,0,1018
2010-05-25,3.5387476465256e-4,0.20161968862628263,109,1427,104,0,1427
2010-05-26,-0.00567707869365167,0.05409763498744529,131,1617,127,0,1617
2010-05-27,0.0323473117686771,0.04600572251593289,115,1364,110,0,1364
2010-05-28,-0.0124518923454058,0.08379878102842095,108,1207,104,0,1207
2010-06-01,-0.0173143533245988,0.02464699453858268,93,1014,90,0,1014
2010-06-02,0.0255144281083427,0.06754262776686336,113,1357,108,0,1357
2010-06-03,0.00404319198344244,0.07617504743325827,86,1199,82,0,1199
2010-06-04,-0.0350174420898311,0.17451061167829116,96,1153,89,0,1153
2010-06-07,-0.0136244661657156,0.15847496538297878,127,1625,124,0,1625
2010-06-08,0.010916267643519,0.15055901665006544,101,1253,98,0,1253
2010-06-09,-0.00595939674188801,0.03573405661573634,125,1417,117,0,1417
2010-06-10,0.0290798456661769,0.11570589721061128,115,1317,109,0,1317
2010-06-11,0.00437011574261751,0.09140211938210996,110,1393,106,0,1393
2010-06-14,-0.00180629393175672,0.17548059422753137,94,1041,91,0,1041
2010-06-15,0.0232224505985004,0.08338077376462631,96,1091,92,0,1091
2010-06-16,-5.5608935409542e-4,0.15865058701123855,116,1243,112,0,1243
2010-06-17,0.0012821858123894,0.12782873789259172,91,985,89,0,985
2010-06-18,0.00131626413845491,0.20860210599405665,93,976,89,0,976
2010-06-21,-0.00386429794339889,0.1526579778854284,100,1133,95,0,1133
2010-06-22,-0.0162012250869894,0.1958787715225101,92,989,88,0,989
2010-06-23,-0.00298993926106872,0.19627746042407615,104,1051,97,0,1051
2010-06-24,-0.0169462832049513,0.167974624372687,93,1102,89,0,1102
2010-06-25,0.00285528193154541,0.14635594470808505,94,1058,91,0,1058
2010-06-28,-0.00203600961065444,0.1923779057407995,93,998,90,0,998
2010-06-29,-0.0315082303422089,0.2584143950908631,152,1675,137,0,1675
2010-06-30,-0.0101644539733353,0.23844477807095896,156,1707,148,0,1707
2010-07-01,-0.00324571330924411,0.3331952352463564,112,1506,110,0,1506
2010-07-02,-0.00467327175430151,0.3038565183902392,75,620,70,0,620
2010-07-06,0.00534472588745773,0.03024502549620949,97,1056,93,0,1056
2010-07-07,0.0308500230082638,0.08795201308842684,124,1223,112,0,1223
2010-07-08,0.00936865495165787,0.13580712724551755,146,1460,138,0,1460
2010-07-09,0.00717806376662946,0.26827316754053254,131,1322,123,0,1322
2010-07-12,7.3263360595281e-4,0.04029101398162599,101,1197,98,0,1197
2010-07-13,0.0152618227355731,0.182323686985607,96,1315,93,0,1315
2010-07-14,-1.5514366479342e-4,0.06925822246672163,101,1369,98,0,1369
2010-07-15,0.00119538855641361,0.1867893386900913,116,1616,112,0,1616
2010-07-16,-0.0292429097007501,0.2291490856811459,85,1219,78,0,1219
2010-07-19,0.0059640695879086,0.08204892215515286,102,1207,96,0,1207
2010-07-20,0.0113518741689928,0.10582297332624736,104,1322,100,0,1322
2010-07-21,-0.0129026995822862,-0.06558294079465579,113,1721,110,0,1721
2010-07-22,0.0222636878224256,-0.02152761289846349,99,1541,94,0,1541
2010-07-23,0.00818642018434479,0.00150644063517239,95,1298,89,0,1298
2010-07-26,0.0111379087167298,0.08534088761016469,119,1625,116,0,1625
2010-07-27,-0.00104990830751979,0.11669056836496262,120,1740,116,0,1740
2010-07-28,-0.00694603263828012,0.19495538001589807,128,1724,124,0,1724
2010-07-29,-0.00416729222051664,0.06338664993703322,129,1780,122,0,1780
2010-07-30,6.34971961989902e-5,0.04771657027314566,105,1366,95,0,1366
2010-08-02,0.0217835287811668,0.04993121833308799,103,1416,99,0,1416
2010-08-03,-0.00480789464133039,0.1249970584532936,109,1624,106,0,1624
2010-08-04,0.00603287806002803,0.05104810426541183,93,1516,90,0,1516
2010-08-05,-0.00126932984321474,0.07961577494126776,81,1289,79,0,1289
2010-08-06,-0.0037109155663973,0.11178235739741164,102,1524,98,0,1524
2010-08-09,0.00546808710740553,0.1327588280615266,87,1291,81,0,1291
2010-08-10,-0.00598528160392761,0.18590507097194303,92,1241,87,0,1241
2010-08-11,-0.0285834059979616,0.18565126641579827,98,1438,95,0,1438
2010-08-12,-0.0053932664000714,0.13745107665388126,88,1217,85,0,1217
2010-08-13,-0.00403169071218904,0.14663404559827098,74,1059,71,0,1059
2010-08-16,1.2045128871151e-4,0.23479850833670832,79,1023,76,0,1023
2010-08-17,0.0121184896013476,0.09540016757996868,88,1128,85,0,1128
2010-08-18,0.00148168048593926,0.14990257053334774,97,1062,94,0,1062
2010-08-19,-0.0170804358568971,0.1396691876565607,96,1194,92,0,1194
2010-08-20,-0.00366975392291934,0.18684761713863277,97,1067,93,0,1067
2010-08-23,-0.0040484907945532,0.26670904953399016,82,942,78,0,942
2010-08-24,-0.0146187683619913,0.2095031807374463,91,970,87,0,970
2010-08-25,0.00328394469163812,0.1664537038109715,88,959,86,0,959
2010-08-26,-0.00771446658089242,0.1505284472436341,86,900,82,0,900
2010-08-27,0.016450710403283,0.07578254635441944,76,799,72,0,799
2010-08-30,-0.0148286111130857,0.238158282172702,92,858,89,0,858
2010-08-31,3.907180884926e-4,0.20997074159199008,98,991,94,0,991
2010-09-01,0.0290777363867502,0.08349164313343813,109,1084,102,0,1084
2010-09-02,0.00903985298673457,0.16796184540167858,86,895,83,0,895
2010-09-03,0.013132393793161,0.14994363603659375,93,1055,90,0,1055
2010-09-07,-0.0115374914127683,0.20720777443499716,97,1095,95,0,1095
