cell,model,variant,param,min,max,std_daily_change,std_if_random,identification_ratio,pin_rate,ac1_level,verdict
Bates_2010-2012,Bates,nonsent,kappa,0.10961,2.99886,1.26276,1.17953,1.071,0.058,0.213,NOT identified
Bates_2010-2012,Bates,nonsent,theta,0.01208,0.14974,0.0505,0.0562,0.899,0.012,0.063,NOT identified
Bates_2010-2012,Bates,nonsent,sigma,0.1071,0.77868,0.15057,0.27417,0.549,0.007,0.421,weak
Bates_2010-2012,Bates,nonsent,v0,0.01431,0.14995,0.03589,0.05538,0.648,0.028,0.584,weak
Bates_2010-2012,Bates,nonsent,rho,-0.88462,-0.10295,0.23965,0.31912,0.751,0.007,0.228,weak
Bates_2010-2012,Bates,nonsent,lambdaJ,0.05453,1.93107,0.48415,0.7661,0.632,0.004,0.252,weak
Bates_2010-2012,Bates,nonsent,muJ,-0.19908,0.03081,0.04837,0.09385,0.515,0.003,0.127,weak
Bates_2010-2012,Bates,nonsent,sigmaJ,0.01871,0.2,0.04452,0.07401,0.602,0.007,0.218,weak
Bates_2010-2012,Bates,sentiment,kappa,0.10962,2.9988,1.26629,1.1795,1.074,0.058,0.213,NOT identified
Bates_2010-2012,Bates,sentiment,theta,0.01197,0.14965,0.04996,0.05621,0.889,0.012,0.08,NOT identified
Bates_2010-2012,Bates,sentiment,sigma,0.10526,0.78193,0.15485,0.27625,0.561,0.007,0.413,weak
Bates_2010-2012,Bates,sentiment,v0,0.01427,0.14995,0.03557,0.05539,0.642,0.031,0.588,weak
Bates_2010-2012,Bates,sentiment,rho,-0.88274,-0.10358,0.23278,0.31809,0.732,0.005,0.227,weak
Bates_2010-2012,Bates,sentiment,lambdaJ,0.05937,1.93464,0.48315,0.76557,0.631,0.004,0.241,weak
Bates_2010-2012,Bates,sentiment,muJ,-0.19885,0.02889,0.04773,0.09298,0.513,0.003,0.122,weak
Bates_2010-2012,Bates,sentiment,sigmaJ,0.01853,0.2,0.04491,0.07408,0.606,0.005,0.204,weak
Bates_2013-2015,Bates,nonsent,kappa,0.10063,2.99835,1.40277,1.18299,1.186,0.114,0.167,NOT identified
