model,regime,n,vwRMSE_NS,vwRMSE_S,better,DM_t,DM_p,sig_DM,CW_t,CW_p,cal_viol_S,bfly_viol_S,GW_p,coverage,inv_ok_NS,inv_ok_S
Bates,2010-2012,744,0.047582,0.04774,NS,-1.87,0.0619,*,5.71,0.0,0.018,0.0001,0.1319,0.8746,0.8793,0.8801
Bates,2013-2015,727,0.06571,0.06554,S,1.64,0.1002,,5.59,0.0,0.0244,0.0001,0.1972,0.8636,0.8695,0.8694
Bates,2016-2019,995,0.060331,0.061107,NS,-6.89,0.0,***,-2.7,0.9966,0.0247,0.0001,0.0,0.8491,0.8534,0.8558
Bates,2020-2022,749,0.06799,0.067729,S,1.72,0.0858,*,6.12,0.0,0.0136,0.0,0.1745,0.8823,0.885,0.8914
Bergomi,2010-2012,744,0.051234,0.051413,NS,-0.96,0.3346,,4.14,0.0,0.0294,0.0005,0.0112,0.8336,0.8385,0.8383
Bergomi,2013-2015,727,0.054296,0.054156,S,0.34,0.7312,,3.41,0.0003,0.0662,0.0015,0.3443,0.8123,0.8197,0.8181
Bergomi,2016-2019,995,0.053305,0.05216,S,4.01,0.0001,***,6.47,0.0,0.0609,0.0016,0.0003,0.8184,0.8247,0.8228
Bergomi,2020-2022,749,0.073033,0.078886,NS,-0.9,0.3691,,2.94,0.0016,0.0484,0.0004,0.1475,0.8147,0.8184,0.8227
Heston,2010-2012,744,0.052422,0.050038,S,12.46,0.0,***,14.32,0.0,0.0203,0.0006,0.0,0.8259,0.8288,0.8345
Heston,2013-2015,727,0.047864,0.048501,NS,-4.94,0.0,***,-0.15,0.5604,0.041,0.0008,0.0001,0.8011,0.8074,0.8067
Heston,2016-2019,995,0.047456,0.046107,S,8.01,0.0,***,13.25,0.0,0.0428,0.001,0.0,0.8012,0.813,0.8047
Heston,2020-2022,749,0.069569,0.067063,S,7.57,0.0,***,10.33,0.0,0.0198,0.0005,0.0,0.8374,0.8389,0.8538
rBergomi,2010-2012,744,0.06064,0.060017,S,0.81,0.419,,2.58,0.0049,0.1269,0.0,0.1634,0.8702,0.8805,0.8795
rBergomi,2013-2015,727,0.05141,0.050436,S,2.16,0.0311,**,2.98,0.0014,0.1709,0.0001,0.0456,0.8031,0.8106,0.8166
rBergomi,2016-2019,995,0.048359,0.046353,S,7.37,0.0,***,11.26,0.0,0.1659,0.0001,0.0,0.8156,0.8227,0.8328
rBergomi,2020-2022,749,0.081113,0.084645,NS,-3.57,0.0004,***,-1.45,0.927,0.1109,0.0,0.007,0.8408,0.8472,0.8553
