========================================================================================================
PARAMETER IDENTIFICATION  (IR ~ 1.0 => behaving like random daily draws; IR -> 0 => well identified)
========================================================================================================

### Bates_2010-2012
param     variant      std(dp)    random      IR    pin%     ac1   verdict
--------------------------------------------------------------------------------------------------------
kappa     nonsent       1.2628    1.1795    1.07    5.8%    0.21   NOT identified
theta     nonsent       0.0505    0.0562    0.90    1.2%    0.06   NOT identified
sigma     nonsent       0.1506    0.2742    0.55    0.7%    0.42   weak
v0        nonsent       0.0359    0.0554    0.65    2.8%    0.58   weak
rho       nonsent       0.2397    0.3191    0.75    0.7%    0.23   weak
lambdaJ   nonsent       0.4842    0.7661    0.63    0.4%    0.25   weak
muJ       nonsent       0.0484    0.0939    0.52    0.3%    0.13   weak
sigmaJ    nonsent       0.0445    0.0740    0.60    0.7%    0.22   weak
kappa     sentiment     1.2663    1.1795    1.07    5.8%    0.21   NOT identified
theta     sentiment     0.0500    0.0562    0.89    1.2%    0.08   NOT identified
sigma     sentiment     0.1548    0.2762    0.56    0.7%    0.41   weak
v0        sentiment     0.0356    0.0554    0.64    3.1%    0.59   weak
rho       sentiment     0.2328    0.3181    0.73    0.5%    0.23   weak
lambdaJ   sentiment     0.4832    0.7656    0.63    0.4%    0.24   weak
muJ       sentiment     0.0477    0.0930    0.51    0.3%    0.12   weak
sigmaJ    sentiment     0.0449    0.0741    0.61    0.5%    0.20   weak

### Bates_2013-2015
param     variant      std(dp)    random      IR    pin%     ac1   verdict
--------------------------------------------------------------------------------------------------------
kappa     nonsent       1.4028    1.1830    1.19   11.4%    0.17   NOT identified
theta     nonsent       0.0534    0.0561    0.95    2.2%    0.19   NOT identified
sigma     nonsent       0.1608    0.2708    0.59    0.6%    0.15   weak
v0        nonsent       0.0528    0.0560    0.94    1.9%    0.28   NOT identified
rho       nonsent       0.2243    0.3150    0.71    0.4%    0.18   weak
lambdaJ   nonsent       0.5483    0.7750    0.71    0.4%    0.06   weak
muJ       nonsent       0.0490    0.0877    0.56    0.6%    0.09   weak
sigmaJ    nonsent       0.0491    0.0716    0.69    0.7%    0.16   weak
kappa     sentiment     1.4047    1.1830    1.19   11.4%    0.16   NOT identified
theta     sentiment     0.0534    0.0562    0.95    2.1%    0.19   NOT identified
sigma     sentiment     0.1616    0.2712    0.60    0.6%    0.14   weak
v0        sentiment     0.0528    0.0560    0.94    2.1%    0.28   NOT identified
rho       sentiment     0.2289    0.3161    0.72    0.3%    0.18   weak
lambdaJ   sentiment     0.5451    0.7716    0.71    0.4%    0.07   weak
muJ       sentiment     0.0491    0.0880    0.56    0.4%    0.09   weak
sigmaJ    sentiment     0.0497    0.0719    0.69    0.6%    0.17   weak

### Bates_2016-2019
param     variant      std(dp)    random      IR    pin%     ac1   verdict
--------------------------------------------------------------------------------------------------------
kappa     nonsent       1.3899    1.1836    1.17   19.3%    0.25   NOT identified
theta     nonsent       0.0608    0.0567    1.07    4.6%    0.14   NOT identified
sigma     nonsent       0.1326    0.2588    0.51    0.6%    0.27   weak
v0        nonsent       0.0518    0.0565    0.92    3.6%    0.36   NOT identified
rho       nonsent       0.2402    0.3239    0.74    0.5%    0.23   weak
lambdaJ   nonsent       0.4849    0.7728    0.63    0.2%    0.22   weak
muJ       nonsent       0.0406    0.0856    0.47    0.2%    0.14   moderate
sigmaJ    nonsent       0.0428    0.0736    0.58    0.4%    0.33   weak
kappa     sentiment     1.3903    1.1835    1.18   18.0%    0.25   NOT identified
theta     sentiment     0.0602    0.0568    1.06    4.1%    0.14   NOT identified
sigma     sentiment     0.1339    0.2631    0.51    0.5%    0.27   weak
v0        sentiment     0.0518    0.0565    0.92    3.7%    0.37   NOT identified
rho       sentiment     0.2412    0.3241    0.74    0.6%    0.24   weak
lambdaJ   sentiment     0.4909    0.7718    0.64    0.2%    0.22   weak
muJ       sentiment     0.0418    0.0857    0.49    0.2%    0.15   moderate
sigmaJ    sentiment     0.0434    0.0737    0.59    0.4%    0.34   weak

### Bates_2020-2022
param     variant      std(dp)    random      IR    pin%     ac1   verdict
--------------------------------------------------------------------------------------------------------
kappa     nonsent       0.9020    1.1834    0.76    2.8%    0.47   weak
theta     nonsent       0.0321    0.0562    0.57    0.8%    0.43   weak
sigma     nonsent       0.1375    0.2847    0.48    0.9%    0.16   moderate
v0        nonsent       0.0280    0.0542    0.52    3.5%    0.70   weak
