model,regime,n,vwRMSE_NS,vwRMSE_S,better,DM_t,DM_p,sig_DM,CW_t,CW_p,cal_viol_S,bfly_viol_S,GW_p,coverage,inv_ok_NS,inv_ok_S
Bates,2010-2012,494,0.057351,0.056062,S,10.13,0.0,***,14.28,0.0,0.01,0.0001,0.0,0.8831,0.889,0.8871
Bates,2013-2015,478,0.101521,0.101298,S,1.14,0.2525,,2.58,0.0049,0.01,0.0,0.0013,0.9278,0.9315,0.9314
Bates,2016-2019,745,0.094704,0.093711,S,9.23,0.0,***,11.68,0.0,0.013,0.0002,0.0,0.9022,0.9071,0.9062
Bates,2020-2022,496,0.062166,0.061104,S,9.39,0.0,***,12.46,0.0,0.0021,0.0,0.0,0.9618,0.965,0.9644
Bergomi,2010-2012,494,0.056064,0.056327,NS,-2.15,0.0318,**,1.77,0.0385,0.0146,0.0031,0.0154,0.8075,0.8107,0.8116
Bergomi,2013-2015,478,0.116084,0.116567,NS,-2.4,0.0163,**,-1.1,0.8642,0.0143,0.0005,0.0055,0.9098,0.9128,0.9142
Bergomi,2016-2019,745,0.103287,0.104,NS,-2.92,0.0036,***,-1.57,0.942,0.0172,0.0015,0.0047,0.8696,0.8742,0.8742
Bergomi,2020-2022,496,0.043574,0.043487,S,0.92,0.3562,,6.72,0.0,0.0026,0.0,0.3602,0.9554,0.9583,0.9585
Heston,2010-2012,494,0.046293,0.046374,NS,-0.44,0.6617,,4.87,0.0,0.0136,0.0049,0.4603,0.8342,0.8404,0.8379
Heston,2013-2015,478,0.083695,0.083818,NS,-0.95,0.3407,,0.92,0.1788,0.0158,0.0006,0.8317,0.9087,0.9128,0.9126
Heston,2016-2019,745,0.070142,0.06943,S,8.99,0.0,***,13.44,0.0,0.0183,0.0042,0.0,0.8558,0.8613,0.8604
Heston,2020-2022,496,0.042152,0.0415,S,6.4,0.0,***,10.96,0.0,0.0035,0.0002,0.0,0.9527,0.9543,0.9542
rBergomi,2010-2012,494,0.081357,0.081975,NS,-3.23,0.0012,***,-0.01,0.5047,0.151,0.0007,0.0047,0.7787,0.7866,0.7844
rBergomi,2013-2015,478,0.058369,0.058025,S,2.68,0.0074,***,8.41,0.0,0.1845,0.0003,0.0779,0.8374,0.8473,0.8452
rBergomi,2016-2019,745,0.051227,0.051463,NS,-2.3,0.0217,**,4.87,0.0,0.1901,0.001,0.0223,0.8026,0.8146,0.8091
rBergomi,2020-2022,496,0.044171,0.044704,NS,-4.96,0.0,***,0.09,0.4653,0.0454,0.0002,0.0001,0.9498,0.9544,0.9532
